Location,OriginalTweet,ScreenName,Sentiment,TweetAt,UserName,annotation_id,annotator,created_at,id,lead_time,table_value_1,updated_at,AutoLabel
"Los Angeles, CA","#Coronavirus has to stuck inside the house (online shopping)? If you're looking at #Rothys, the most comfortable shoes ever, use my Discount code to get $20 off your first pair! https://t.co/rkBhVi4tLu #Rothysdiscount #rothyscode #rothyscoupon #Rothy #rothycode #onlineshopping",45736,Positive,12-03-2020,784,,,,,,,,Отрицательно
Toronto area,Remember not everyone can afford to stock pile months of food and toilet paper. Be sensitive to those who live pay-check to pay-check #Covid_19,45737,Negative,12-03-2020,785,,,,,,,,Отрицательно
,"Just stopped by the grocery store.  I half expected to see Rick Grimes riding a horse down aisle 9.

#CoronavirusPandemic #Covid_19 
#WalkingDead https://t.co/asPyS8T5uP",45738,Negative,12-03-2020,786,,,,,,,,Отрицательно
"Wakefield, UK","I have lung disease and take immunosuppressants for my Crohns. If I catch Covid-19 I'm screwed. So, tbh, the person who made a comment towards me in the supermarket, just because I quite rightly wore a mask, can jog on quite frankly. #Covid_19",45739,Negative,12-03-2020,787,,,,,,,,Отрицательно
"New York, NY","Avoid gatherings of more than 500 people...so i shouldnt go to the grocery store ????

#CoronavirusPandemic #Covid_19 #nyc #comedy #LNSM @NYCMayor @NYGovCuomo #comedycell #tamronhallshow @tamronhall @TamronHallShow #warmupcomedian",45740,Negative,12-03-2020,788,,,,,,,,Отрицательно
Hogwarts,@kroger @Walmart do you happen to have any step-by-step instructions for creating a web account and ordering groceries online? I live in a community of older folks and I think online shopping would be immensely helpful but a lot of them have never done th,45741,Positive,12-03-2020,789,,,,,,,,Отрицательно
World Traveler,"I just checked my surgical mask stash:
I have 55 3-ply surgical masks for myself.
Now I see bulk prices are 20x higher than usual- but still considered cheap. In fact, 20x is the cheapest.
You can pay 45x more per mask- even up to 200x.
#WuhanVirus #CoronavirusPandemic #Covid_19",45742,Negative,12-03-2020,790,,,,,,,,Отрицательно
,"@sidhakuro @bhoowan Well Rice is new, and worrying. Here in the US it is so far limited to Tissue papers and hand sanitizers only. Hope it wont come to Food panic. #coronavirus #Covid_19",45743,Extremely Positive,12-03-2020,791,,,,,,,,Очень отрицательно
"Baltimore, MD","Grocery store owners right now...
#CoronavirusPandemic #COVD19 #CoronaOutbreak #Covid_19 https://t.co/zz2BBeNUhc",45744,Neutral,12-03-2020,792,,,,,,,,Отрицательно
,"#Covid_19 has wiped supermarket of pasta &amp; toilet rolls but staff @royalhospital @RoyalPrimary targeted other much needed items for our foodbank initiative!
 
Delivered February's supplies last week weighing in at an impressive 305.20kg 

#ThankYou 

https://t.co/EDhiiV2SFn https://t.co/U9Xo3i1hWH",45745,Extremely Positive,12-03-2020,793,,,,,,,,Отрицательно
Ireland,"A suggestion #Covid_19 
So you didn't realise that panic buying goods creates shortages &amp; deprives those who are really in need! 
Make amends by giving or (selling at cost) some of the food you bought to people in your neighbourhood who are affected/at risk or can't shop https://t.co/jxrm0ilb19",45746,Extremely Negative,12-03-2020,794,,,,,,,,Очень отрицательно
Ireland ,"This is a clip that challenges road behaviour and compares it with a similar behaviour in a supermarket.

With some of the behaviour I witnessed at some supermarkets today, maybe this ad might need a rethink?

Folks..please calm down!
There is no shortage of goods atm!
#Covid_19 https://t.co/0155PM02AV",45747,Positive,12-03-2020,795,,,,,,,,Отрицательно
Where your story takes me,"Important public anouncement

IF YOU JUST WASH YOUR BOTTOM LIKE PEOPLE ACROSS ASIA YOU WONT NEED TO PANIC BUY LOO ROLL!!! 
I refer you to exhibit a b c

Also food shelves full?!
#campaignforbumguns 
#Muslimshower
#toiletpaper #ToiletPaperApocalypse #Covid_19 #CoronavirusPandemic https://t.co/iy7IxImPZL",45748,Extremely Positive,12-03-2020,796,,,,,,,,Нейтрально
"Texas, USA",Toilet paper shelf right now at grocery store. SMH #Covid_19 https://t.co/3gYVfc5tvi,45749,Negative,12-03-2020,797,,,,,,,,Отрицательно
England,"Everywhere is going into lockdown it seems. If people weren't stock piling food before, they certainly will now, due to fear it will happen here in UK soon. #coronavirus",45750,Negative,12-03-2020,798,,,,,,,,Отрицательно
"Barcelona, Spain",My local grocery store. This is nuts. #Covid_19 https://t.co/D3hj0eAnxQ,45751,Negative,12-03-2020,799,,,,,,,,Отрицательно
"San Francisco, CA","Italy is on lockdown, and officials here in the US say that we may be about 2 weeks behind. A lockdown could be a reality for us here in the US if the #Coronavirus isn't contained. On that note, if you haven't already... be sure to stock up on enough food to last a couple weeks.",45752,Positive,12-03-2020,800,,,,,,,,Отрицательно
Riga,"4) state institutions encouraged to give services via email/phone when possible; 5) people who have been in Covid 19 countries asked to self-evaluate, self-carantine, not use public transport, use online shopping or go to places late in evening with mask and 2m from other people",45753,Positive,12-03-2020,801,,,,,,,,Отрицательно
"Dublin, Ireland ",Check on your elderly neighbours and relatives who wont be able to stand in the massive supermarket queues ?? #Covid_19,45754,Positive,12-03-2020,802,,,,,,,,Отрицательно
,Im not actually that worried about COVID-19...Other note. Huge shout-out to all my fellow retail employees who dont have the option to work from home and have to clean up the store AFTER all the guests have touched everything in their panic to stock up,45755,Positive,12-03-2020,803,,,,,,,,Очень отрицательно
The Outer Limits,"@SecPompeo @realDonaldTrump You mean the plan that 
doesn't cover underinsured, non insured, &amp; unemployed
hasn't frozen prices yet 
doesn't cover mass testing (that 3rd world countries are already doing)

#WhereAreTheTests 
#WhereAreTheTes",45756,Neutral,12-03-2020,804,,,,,,,,Отрицательно
#FeedTheBirds #WaterTheBirds ,"James Moore: If we close schools to prevent coronavirus, thousands of children will go hungry https://t.co/xrpUeLA27l

This is the reason then? WELL #BorisJohnson give those who are in #Poverty HELP? MONEY grabbing Tyrant. Rather than lie on #Cobra  #Covid_19",45757,Extremely Positive,12-03-2020,805,,,,,,,,Отрицательно
"Montréal, Québec","Be like my girlfriend Leah. She was picking up cans of soup at the grocery store then thought.  ""I already have a lot at home. Better leave it for someone who doesn't "". Small things can help a lot. Stay safe. #Covid_19 #SocialDistancing  #CoronaVirusUpdate  #loveeachother",45758,Extremely Positive,12-03-2020,806,,,,,,,,Отрицательно
,When someone walks past you and coughs in a supermarket ? #Covid_19 #laskmun https://t.co/WgIlmrnhvd,45759,Neutral,12-03-2020,807,,,,,,,,Отрицательно
"Scotland, United Kingdom","@JeremyVineOn5 @DrChrisSmith @DrSarahJarvis When are people who have been diagnosed positive #COVID19 most #infectious to others? How long will they continue to be infectious to others?

How long does #coronovirus live on surfaces &amp; clothing?
",45760,Positive,12-03-2020,808,,,,,,,,Отрицательно
New York City,"I cut out a roll of toilet paper from a pack at the grocery store, rolled it into a crowd of shoppers, &amp; yelled ""last one"" as a joke. 
Never have I seen such horror...
#CoronavirusPandemic #Covid_19 #CoronaVirus #WuhanCoronavirus",45761,Negative,12-03-2020,809,,,,,,,,Отрицательно
"Brighton, England",panic buying at the supermarket today #Covid_19 #panickbuyinguk https://t.co/pI5kCs3OlE,45762,Negative,12-03-2020,810,,,,,,,,Очень отрицательно
"California, USA","Just stopped by Trader Joe's to stock up before they shut my kids school down. Packed and operating efficiently. I'm not buying food from anyone that doesn't give people who handle food paid sick leave. Institutional change is part of a plan...#COVID2019 

https://t.co/5a9B2x8m0Q",45763,Negative,12-03-2020,811,,,,,,,,Отрицательно
"Tulalip, WA","The NY Fed is injecting $500 billion in short-term funding. Sounds calming, but monetary policy isnt going to work this time.

We need investor/consumer mindsets to change surrounding #Covid_19 Thats the only thing that halts this downtrend. 

https://t.co/VfXXOGwzKq",45764,Positive,12-03-2020,812,,,,,,,,Отрицательно
,"Ive read posts about the COVID-19 saying to stock up on food, to take all your money in the bank out, and other extremes. That scares me.",45765,Negative,12-03-2020,813,,,,,,,,Отрицательно
Wonderland ,We can't really blame the panic buyers ! After all we all are humans and we all has the fear of getting qurantine for few weeks and running out of food . #Covid_19,45766,Extremely Negative,12-03-2020,814,,,,,,,,Очень отрицательно
The moon,We shoulda boycotted thre airline prices a long time ago #Covid_19,45767,Negative,12-03-2020,815,,,,,,,,Отрицательно
"agloe, ny","Almost every hour, there is a COVID-19 update. People are literally panic buying. Ubos ang alcohol sa hypermarket sa may centris. I was sent home because of my colds. May nagbabantang lockdown sa mga ibang lugar. There's just a lot going on.",45768,Negative,12-03-2020,816,,,,,,,,Очень отрицательно
,"Airlines: Plane ticket prices are dropping because of the coronavirus. 

My great ass making bookings coz if I die I better die in Madina
#CoronavirusPandemic #Covid_19",45769,Extremely Negative,12-03-2020,817,,,,,,,,Отрицательно
"Will County, IL","Why only help big businesses with the 2020 #bailout - Newsflash- If the government really wants to stimulate the economy and consumer confidence, wipe out student loan debt and offer mortgage payment assistance for those impacted by #Covid_19 #shutdowns",45770,Extremely Positive,12-03-2020,818,,,,,,,,Отрицательно
"California, USA","Oh yeah, sure, gas prices are gonna go down....but getting the CoronaVirus is so much less concerning.? #CovidDon #Covid_19 #TrumpCrash #TrumpIsAMoron #TrumpIsAnIdiot",45771,Positive,12-03-2020,819,,,,,,,,Отрицательно
Bangalore,"All these years, ppl looked at me like a freak for using hand sanitizer after trvling in bus/metro,washing hands aftr reaching office. 
Today, it's been set as a norm!
The spices/turmeric in our food were never only for taste, continue with'em.
Don't panic,Be Hygienic!
#Covid_19",45772,Positive,12-03-2020,820,,,,,,,,Очень отрицательно
,"Omg corona virus let's all go sit in line together at the grocery store to buy supplies and all touch the same cash registers n shit. So clever. 
#coronavirus #Covid_19 #COVID19 
#society",45773,Positive,12-03-2020,821,,,,,,,,Отрицательно
"Lewisham, London","Looks like #Covid_19 could start killing off gig economy platforms. The likes of Uber are loaded up with debt and their share prices are taking a hammering.

Could the government respond by employing their workers to provide transport and deliveries to the most vulnerable?",45774,Negative,12-03-2020,822,,,,,,,,Отрицательно
,"Corona: events with 1000+ people attending are cancelled, schools are closing everywhere

Me, working at a supermarket, getting in contact with a shit ton of people daily: ??
#Covid_19",45775,Extremely Negative,12-03-2020,823,,,,,,,,Отрицательно
"Yarmouth, ME","My story &amp; trip today to the #grocery store. Wow! And a helpful #Video  on what to do if you run out of #toiletpaper #ToiletPaperApocalypse #ToiletPaperEmergency  Stay #safe, everyone!! #CoronavirusPandemic #CancelEverything  #Covid_19 #Maine   https://t.co/vVmX0CNwP3",45776,Extremely Positive,12-03-2020,824,,,,,,,,Нейтрально
Earth,PM will be addressing the nation at 8pm later. Do not panic though. Do not wipe out the supermarket again.  #Covid_19,45777,Positive,12-03-2020,825,,,,,,,,Очень отрицательно
"Waterford, Ireland","QUARANTINE DIARY

Day 1: I have stocked up on enough non-perishable food and supplies to last me for months, maybe years, so that I can remain in isolation for as long as it takes to see out this pandemic

Day 1 + 45 minutes: I am in the supermarket because I wanted a Twix",45778,Negative,12-03-2020,826,,,,,,,,Отрицательно
Laval,"Me coming back from the grocery store!! ???
Places are packed Man!! ???
#Covid_19 #coronavirus https://t.co/KosxQNZAer",45779,Neutral,12-03-2020,827,,,,,,,,Отрицательно
"London, England","Enjoy the best shows from Sky TV and Netflix side by side, for just £25 per month! Sky Q. All in one place. Easy.",45780,Extremely Positive,12-03-2020,828,,,,,,,,Отрицательно
Seattle,?Got back from grocery store- amazingly well stocked but no hand sanitizer or alcohol left. Doc ofc havent had any cases which is good bc they have no test kits!!! Seems like no one does!  #COVID19 #coronavirus #CoronaVirusUpdate #outbreak #epidemic #pandemic #health #CDC #WHO,45781,Extremely Positive,12-03-2020,829,,,,,,,,Положительно
"Boise, ID","Hey, bee smart! Avoid the corona virus by shopping online ... Buy some socks! https://t.co/UAgPoGJbQL

#sockfetish #sockfetishsocks #socks #coronavirus #beesafe #shoplocal #supportsmallbusiness #buylocalboise https://t.co/huBK37KoMa",45782,Positive,12-03-2020,830,,,,,,,,Отрицательно
"San Diego County, Calif","Could you survive for a month without going to the store? Do you have dry milk in stock? Do you have basic medications for if you get sick? If you dont have a list, start now! #Coronavirus  
Emergency Food List Ideas:
https://t.co/7IFkv5vew8",45783,Extremely Negative,12-03-2020,831,,,,,,,,Отрицательно
In the flow,"As we think only about ours, stock up on food, stay home from work, let's not forget about those who live a form of Covid-19 regularly - those without food, health coverage, suitable living conditions. Social distancing won't protect us. Now more than ever we need each other.",45784,Extremely Positive,12-03-2020,832,,,,,,,,Очень положительно
"Leicester, England","@BillyPTSD @martinsmith02 @HumphreysHope With harm reduction, emergency accommodation, specialised medical care and services working collectively to stock pile food and emergency medication supplies in good time for the inevitable #Covid_19 spike in the U",45785,Negative,12-03-2020,833,,,,,,,,Отрицательно
"Spokane, WA","I sent my mom to get a huge amount of groceries. She says grocery store was busy. Cleaning product shelves empty. Toilet paper shelves empty. She bought Kleenex and paper towels. Says frozen food area has some low stock. 

Stay calm everyone. Stay smart. Prepare. #COVID2019",45786,Positive,12-03-2020,834,,,,,,,,Очень отрицательно
Between pages of great ???,"Please be aware #COVID19 #CoronaVirus has been confirmed on the #GoldCoast #QLD. If you're local &amp; #ImmuneCompromised please enlist medical hand washing, consider social distancing &amp; stock up on meds &amp; food if possible, asap. #EDS #Spoonie #ChronicIllness

https://t.co/x3rpZxP2L8",45787,Extremely Positive,12-03-2020,835,,,,,,,,Отрицательно
Between pages of great ???,"#COVID19 #CoronaVirus declared #Pandemic by #WHO. If you are #Disabled, have a #ChronicIllness or are #ImmuneCompromised don't panic, please stay informed, practice medical handwashing, consider social distancing, &amp; stock up on meds &amp; food if possible.

https://t.co/grJ5yYTQWS",45788,Negative,12-03-2020,836,,,,,,,,Очень отрицательно
,"Despite what @DHSgov recommends, there is no reason to stock up on two weeks of food AND WATER. Its not a natural disaster. Water service will continue &amp; water is safe to drink.  There is no #coronavirus in the water. Its about facts, not #hysteria and #panic. #TheMoreYouKnow",45789,Neutral,12-03-2020,837,,,,,,,,Очень отрицательно
"Beijing, China","Shopping for groceries, playing a Nintendo Wii, taking online courses???

A 23-year-old part-time vlogger/full-time student from Norway, who attends @PKU1898, is recording his daily life amid the novel #coronavirus epidemic.? [Photo/Xinhua] #SpotlightBeijing https://t.co/tEUgjLti05",45790,Positive,12-03-2020,838,,,,,,,,Отрицательно
Youngstown OH,"Seeing so many people at the supermarket today stocking up on so much makes me wonder how much is gonna be wasted before this blows over...

#CoronavirusPandemic 
#Covid_19",45791,Negative,12-03-2020,839,,,,,,,,Отрицательно
"Lubbock, TX",The TP section at my local grocery store. All of the food and drink aisles are perfectly normal and fully stocked. I am very confused about this #ToiletPaperApocalypse #Covid_19 https://t.co/0NYGaZtP9J,45792,Positive,12-03-2020,840,,,,,,,,Отрицательно
CT,"#pruell prices are getting close to escort  menus.  

$20 a pump 

#CoronavirusPandemic #CoronaVirusUpdate #CoronaOutbreak #Covid_19 #coronavirus #cor",45793,Neutral,12-03-2020,841,,,,,,,,Отрицательно
S A V A N N A H,"All retail store cashiers should take two precautions for  customers:
1. Keep a ready bottle of hand sanitizer nearby for when people use pens or handle cash.
2. Keep screen wipes ready for use after every transaction where a buyer hand signs on screen.
#Covid_19 #Pandemic #Covid",45794,Extremely Positive,12-03-2020,842,,,,,,,,Положительно
"London, England",Hopefully all these games played behind closed doors will open clubs eyes to how important the fans are to the beautiful game &amp; in turn lower ticket prices.....? #Covid_19,45795,Extremely Positive,12-03-2020,843,,,,,,,,Отрицательно
"Berlin, Germany","Are we still allowed to refer to successfully spreading digital consumer products as ""viral"" or will we have to find a new word? Asking for a friend... #coronavirus",45796,Extremely Positive,12-03-2020,844,,,,,,,,Отрицательно
,How come toilet paper prices are rising? Probably because of the #Covid_19 @GlobalBC,45797,Neutral,12-03-2020,845,,,,,,,,Отрицательно
Horse Country ? Virginia,"Who knew!

#COVID2019

Household Products That Destroy Novel Coronavirus - Consumer Reports https://t.co/hZSjz6Sts9",45798,Negative,12-03-2020,846,,,,,,,,Отрицательно
North Lincolnshire,@Tesco Is it time to temporarily reintroduce bags for home delivery? It would help minimise contact between driver and customer.  Especially as many vulnerable people will be doing all their shopping online. #onlineshopping #coronavirus,45799,Positive,12-03-2020,847,,,,,,,,Отрицательно
cookstown,"Can't think of any situation that requires me having 100 rolls of toilet roll and that includes the St.Patricks weekend I drank nothing but Guinness for 3 days. Don't be a wanker and stop stock piling stuff you don't need, it's the reason prices are ridulous #Covid_19",45800,Extremely Negative,12-03-2020,848,,,,,,,,Отрицательно
,"POINT OF SALE Software meets unique needs of small and medium enterprises

We sell hardwares at affordable prices 

TOUCH SCREEN MONITOR 25,000

COMPLETE DESKTOP KSH 12,000

THERMAL PRINTER KSH 13,000

CASH DRAWER KSH 8,000

CONTACT: 0722 904 209/0724 493 745

#Covid_19 https://t.co/8YePBAcG5i",45801,Neutral,12-03-2020,849,,,,,,,,Отрицательно
,"if you live in a heavily COVID-19 affected area and cannot afford to stock up on things or lost your work study/job due to closings, message me your venmo @ and I will send you $100 to buy food/supplies no questions asked! I can only help the first 10 people",45802,Negative,12-03-2020,850,,,,,,,,Отрицательно
"Lincoln, England",I believe this is a conspiracy by the supermarket owners to get rid of their stock..... the amount of stores that are empty its unreal ? #Covid_19,45803,Extremely Negative,12-03-2020,851,,,,,,,,Очень отрицательно
Earth,"Online gaming, internet shopping and book sales are booming. If you too are self-imposing isolation @guardian has published #Coronavirus reading list: joyful books for dark, lonely times https://t.co/Od7hRxKriH",45804,Negative,12-03-2020,852,,,,,,,,Отрицательно
New York City,"The people telling us to stock up on 2+ weeks worth of food, toilet paper, and medicine, clearly dont live pay-check-paycheck.
#coronavirus #CoronavirusPandemic #COVID19",45805,Positive,12-03-2020,853,,,,,,,,Отрицательно
,"So, after finally deciding that I need to buy a hand sanitizer .. I realized that after searching more than 10 pharmacies in Beirut, none of the sold sanitizers has a content part and so are unreliable. Two, prices are rediculously high and irrational.#??????_????? #Covid_19",45806,Positive,12-03-2020,854,,,,,,,,Положительно
,"Its unacceptable how prices of masks, sanitizers and alcohol are irrationally high in such a critical and dangerous situation. Something should be done regarding this issue. #????_?????? #??????_????? #Covid_19",45807,Extremely Negative,12-03-2020,855,,,,,,,,Отрицательно
"Mystic Marsh, Winter Tundra","Lidl is total chaos, queues as long as the aisles. The cashier got up to go to the toilet and was met with roars of abuse. When I got to the top I asked how she was and she said I was the first person to ask her that all day. She has been working since 4am. Be a bit sounder lads",45808,Extremely Negative,12-03-2020,856,,,,,,,,Отрицательно
"Atlanta, GA","Me: are you going to go to the grocery store to stock up?

Mom: well, I just got my nails done.

#itscoronatime #CoronavirusPandemic #Covid_19",45809,Positive,12-03-2020,857,,,,,,,,Отрицательно
Manila ??,"NEW VLOG!

Many people who feared for a possible lockdown in Metro Manila are reportedly panic-buying basic food and household items. 

But will it help or will only aggravate the COVID-19 situation we are facing now?

Know what Kuya Daniel says about it:
https://t.co/4Fd0ZiN8Vz",45810,Extremely Negative,12-03-2020,858,,,,,,,,Очень отрицательно
"Toronto, Ontario Canada ",#CoronavirusPandemic is a Respiratory Virus all you need are herbs to boost your immune system. https://t.co/S6ouhexsjr all prices are in Canadian dollars. Free shipping over $80 #Covid_19 #CoronaVirusUpdate #CoronaOutbreak #coronavirus #Coronavid19 #Canada #CanadaPRMasterClass https://t.co/HiiQFJaVGI,45811,Extremely Positive,12-03-2020,859,,,,,,,,Отрицательно
"London, Italy, Greece, Mexico",Any companies found to be selling antibacterial wipes etc at extremely high prices should be boycotted after this is all over !Disgraceful behaviour at a time like this! Lots saying how entrepreneurial it is ! What a load of BS! Entrepreneurship is about helping also!! #Covid_19,45812,Positive,12-03-2020,860,,,,,,,,Отрицательно
Canada,More than 4.4 million Canadians say they feel food insecure due to financial constraints: report https://t.co/3GPXCThrNM https://t.co/t507X4oG9k,45813,Negative,12-03-2020,861,,,,,,,,Отрицательно
"London, England",The corner shop couple delivering 'coronavirus kits' to those in need https://t.co/gCbsW1pr4E,45814,Neutral,12-03-2020,862,,,,,,,,Отрицательно
Qatar,"The companies said that they took stock of the situation and started working on main and alternative plans to meet the demand of foods in local market.
#Qatar #coronavirus #Food 
https://t.co/GisvRatyJK",45815,Negative,12-03-2020,863,,,,,,,,Отрицательно
,On the plus side fuel prices have dropped.#CoronavirusPandemic #coronavirus #Covid_19 #CoronaVirusUpdate,45816,Neutral,12-03-2020,864,,,,,,,,Отрицательно
Global,JUST IN: Oil prices now down by over 6%,45817,Neutral,12-03-2020,865,,,,,,,,Отрицательно
"Toronto, Canada","We're at a critical time for the containment of COVID-19.

As a necessary precaution, The Stop will be shifting our resources away from community programming and towards emergency food access services starting Monday, March 16.  https://t.co/rM191zyAfX",45818,Extremely Negative,12-03-2020,866,,,,,,,,Отрицательно
,Yall need to calm tf down at the grocery store. #CoronavirusPandemic #Covid_19 #thursdaymorning,45819,Positive,12-03-2020,867,,,,,,,,Отрицательно
NYC,"https://t.co/UIyysVsc1x

""This is about much more than coronavirus, oil prices, or even the global economy. This is about the balance of power between East and West.""  H/t @Independent. Exactly. #Covid_19 #globaleconomy cc: @DieSchwarzePerl @JOHNGIDDING @dwbwriter @dr_grzanka",45820,Neutral,12-03-2020,868,,,,,,,,Отрицательно
,"#Airbnb some hosts are taking advantage of the #Covid_19 pandemic &amp; charging outrages prices/cancellation fees.  Just got hit w/ charge of $450 for 1 night b/c they literally said, ""we have to make money somehow.""  I'll never use @airbnb again. A hotel would have refunded money.",45821,Negative,12-03-2020,869,,,,,,,,Отрицательно
American Samoa,"People in Italy: stock up food
People in UK: Stock uo toilet paper

#Covid_19 #lockdown #uk #Italy #COVID2019uk",45822,Neutral,12-03-2020,870,,,,,,,,Отрицательно
,"Schools: closed
Professional Sports: canceled 
Groups of 250+: banned
Stock Market: crashing
My $2.13/hour job handling hundreds of strangers food and silverware: come on in, people aren't working so we will be busy.

#serverlife #Covid_19 #hospitalityindustry",45823,Negative,12-03-2020,871,,,,,,,,Отрицательно
"Minneapolis, MN",SEEKING: Everyone's favorite proactive consumer messaging in response to #Coronavirus/#COVID_19,45824,Extremely Positive,12-03-2020,872,,,,,,,,Отрицательно
"Turku, Finland","(IL)
Whyyyy? Finnish are crazy..
Buying all the toilet paper from the shops? Like, are yall gonna eat it? Or build barrigades against the virus?
Cmon, there is still toilet paper in stores, and we have online shopping and home delivery if needed..
#Koronavirusfi #Covid_19 https://t.co/VGISDN7F5M",45825,Neutral,12-03-2020,873,,,,,,,,Отрицательно
"Brooklyn, NY",I've never been in a supermarket where so many people went out of their way to not accidentally touch each other. It was a strangely considerate experience. #Covid_19,45826,Positive,12-03-2020,874,,,,,,,,Отрицательно
"Irvine, CA","The saddest thing- As attendees and vendors, if ever we needed hugs its now... and we cant even do that ?
#WonderCon
#SDCC https://t.co/Crnjqw2IqR",45827,Negative,12-03-2020,875,,,,,,,,Отрицательно
,"Underneath, this is what everyone looks like in my local supermarket #Coronavirus #Covid_19 
Paranoia's poison door
21st Century Schizoid Man https://t.co/FL5NNC6by7",45828,Negative,12-03-2020,876,,,,,,,,Отрицательно
East Cork via Cork & Somerset!,"This. This. This. 

A bazillion times this

#Covid_19 

*I work in a supermarket https://t.co/aCrsItmj25",45829,Neutral,12-03-2020,877,,,,,,,,Отрицательно
,"Stock up on food and water just to be safe folks. Covid-19 isnt deadly, but it has a chance to disrupt food supply chains. Humans are nine meals away from anarchy; you do not want to be in the streets at that time. Buy a gun to protect you and yours. Be prepared, just in case",45830,Extremely Positive,12-03-2020,878,,,,,,,,Очень положительно
Currently Traveling,"I work at a small local grocery store and news just hit that they're shutting schools down for three weeks. Please have patience with your cashiers, baggers, and stock people. We are trying the best we can to keep up.
#Covid_19",45831,Extremely Positive,12-03-2020,879,,,,,,,,Отрицательно
Fodlan,"It'll be interesting to see how retail stores react to covid-19. Do they take a short term profit loss by closing, or do they risk a PR nightmare and long term profit and consumer trust loss by potentially having an outbreak start in their store?",45832,Extremely Positive,12-03-2020,880,,,,,,,,Отрицательно
,"Me: We should stock up food for 2 months becuase of #Covid_19 

9 yr old bro: So how many @lacroixwater is that? 

??",45833,Neutral,12-03-2020,881,,,,,,,,Отрицательно
,"Where did coronavirus come from, and where will it take us? An interview with Rob Wallace, author of Big Farms Make Big Flu

https://t.co/Hqp68iu1iN https://t.co/dR4Ys2hCOy",45834,Extremely Negative,12-03-2020,882,,,,,,,,Отрицательно
Worldwide,The UK government is experimenting with the publics health just to save share prices. #CobraMeeting #Covid_19,45835,Extremely Positive,12-03-2020,883,,,,,,,,Отрицательно
Baku,"What's positive about Corona virus:
- helping to fight climate crisis
- stock markets are disrupted
- oil prices are getting lower
- flights cancelled
- more family gatherings
- works can be done via emails and from home
- distance education is working

Comrade #Covid_19 ?",45836,Extremely Negative,12-03-2020,884,,,,,,,,Отрицательно
Public Affairs & PR ,"JUST IN: @DelhaizeBelgium Supermarket in central residential area of #Brussels. 

#Covid_19 #COVID19BE #StayHomeBelgium https://t.co/aqjcqGxDcK",45837,Neutral,12-03-2020,885,,,,,,,,Отрицательно
All over ,Since corona virus Ive started online clothing shopping this is my new outfit. #shopping #oodt #fashionista #coronavirus #covid19Canada https://t.co/7a0fT0YgFA,45838,Neutral,12-03-2020,886,,,,,,,,Отрицательно
"Kuching, Sarawak","Video conferencing, online shopping, remote work, crypto, e-wallets, VR, ebooks, e-classroom, digital assistants, assets tokenization, STO. It's their time 2 shine. Organizations that dont offer these options will have to rethink.  Face2face is so covid-19! #xtz #COVID19",45839,Positive,12-03-2020,887,,,,,,,,Отрицательно
"Nairobi, Kenya","Catching flights and not feelings... The prices are falling y'all ?
https://t.co/wo1DYYSXfr

#Covid_19",45840,Negative,12-03-2020,888,,,,,,,,Отрицательно
,@offhandmanor1 @BeyondaBoundary @toddzwillich @jdesmondharris Flu shot would not prevent #coronavirus. And now is not a good time for old folks to visit doctor's offices or pharmacies. Social distancing &amp; online shopping is the safest bet.,45841,Negative,12-03-2020,889,,,,,,,,Отрицательно
,"Im stuck indoors for the foreseeable due to avoiding Covid-19, all I do is look at online shopping.... think @EmmaBridgewater may benefit from cabin fever after a week or so...",45842,Negative,12-03-2020,890,,,,,,,,Отрицательно
"Pleasantville, USA","Got back from grocery store... wtf is it with TP and water? Ive literally gone from worrying if im gonna get #Covid_19 to worrying about how im gonna wipe my ass next week ? Scary times. oh well, i have enough hot pockets to last a month ?",45843,Extremely Negative,12-03-2020,891,,,,,,,,Отрицательно
,"It seems that #coronavirus spread has given several companies a nightmare owing to their dropping sales. @Apple on these grounds has decided to temporarily close all its #retail stores  in #italy till further notice. Will this 'horror' flick ever end? 
https://t.co/Yv1Es6wLJX",45844,Extremely Negative,12-03-2020,892,,,,,,,,Отрицательно
London,"While you may be based at home, just remember to do your online shopping with Amazon Smile. Relieve your boredom and support WIZO at the same time #coronavirus #charity #covd19 https://t.co/oaKa4KfDAk",45845,Extremely Positive,12-03-2020,893,,,,,,,,Отрицательно
"Texas, USA","Dont go to school, dont go to sporting events, dont go where theres crowds or youll get the #coronavirus. But theres 800 people at every grocery store. How are we going to avoid that?",45846,Negative,12-03-2020,894,,,,,,,,Отрицательно
,Going to have to check this out. Wonder what the prices are with  #COVID2019 running amok ? https://t.co/yYUPcnzDxQ,45847,Neutral,12-03-2020,895,,,,,,,,Отрицательно
USA,I think it's safe to say that the current situation society is facing is going to have a profound impact on people's move towards shopping and searching online for businesses. It's time to get your business online. #coronavirus,45848,Positive,12-03-2020,896,,,,,,,,Отрицательно
Galway ,"Instead of panic buying in the crowded supermarkets, pop down to the local shop and see if they have what you need. The prices are pretty reasonable in most of them #Covid_19 #panicbuying",45849,Neutral,12-03-2020,897,,,,,,,,Очень отрицательно
"Puget Sound, WA","In Seattle, some things seem normal. I could drive to the grocery store or the gas station. I could keep my appointments. But its all just better if I stay in. I can be one less person out bumping into other people, giving off or picking up germs on every surface. #coronavirus",45850,Extremely Positive,12-03-2020,898,,,,,,,,Отрицательно
